Identifier	Character	Dialogue	Filename	Line Number
54fbd177		The side images for each character.	game/TO_LIVE_DEFINES/TL_defines_character.rpy	228
d97667ec		Traits are how characters have behaviours that will influence how they interact with other NPCs and the protagonist. Traits change through events and help characters develop. Below each trait is listed alphabetically and with their ingame use/effect.	game/TO_LIVE_DEFINES/TL_defines_character.rpy	276
0b10f78c		NOTE: An AI system off of this is yet to be perfected. I would like to automate learning of player choice habits so that these traits interact with each other automaticlaly and flexibly.	game/TO_LIVE_DEFINES/TL_defines_character.rpy	337
d0ed2b47		These are skills that apply to specific characters. Sometimes more than one.	game/TO_LIVE_DEFINES/TL_defines_character.rpy	380
ac3dab82		Credit to Socradeath	game/TO_LIVE_DEFINES/TL_defines_datetime.rpy	1
dream_one_6df873ce		I feel light.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	2
dream_one_3a8af272		I feel as if there's no weight in me.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	3
dream_one_c60970a1		Like something scraped me from the inside to become hollow.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	4
dream_one_ddcc3fc0		Everything is dark.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	5
dream_one_96cd1c83		But I don't feel alone.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	6
dream_one_4972f504	v	Absolution.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	7
dream_one_e7866555		The voices kept murmuring.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	8
dream_one_5d8c382c		Gossiping about me.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	9
dream_one_887e67d3		I could feel it.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	10
dream_one_db38946a	f	It's true,urchin.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	11
dream_one_19fdc730	f	They all just gossip about you.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	12
dream_one_616f47c1	f	How pathetic you are.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	13
dream_one_3b323e4b	f	How weak you are.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	14
dream_one_de04b0f7	f	You're failure to face reality.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	15
dream_one_4d54a8e5	f	Your desire to run away from your responsibility.	game/TO_LIVE_SCRIPT/ERA ONE/1937 DAY ONE[7-9-37]/dream_one.rpy	16
